formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
(a) | (G(b)),best,ok,0,0.00932256,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),spot#tgba,ok,0,0.00805335,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),pldi#tgba,ok,0,0.0108751,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),spot#tba,ok,0,0.00674235,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),pldi#tba,ok,0,0.00649249,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),spot#sba,ok,0,0.00676396,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),pldi#sba,ok,0,0.00760977,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),entry.nopower,ok,0,0.0078716,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),entry.power,ok,0,0.00674902,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),always.nopower,ok,0,0.00996592,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),always.power,ok,0,0.00723917,3,5,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
F(a),best,ok,0,0.00943308,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [!0] 0 --END--"
F(a),spot#tgba,ok,0,0.00659512,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [!0] 0 --END--"
F(a),pldi#tgba,ok,0,0.00761528,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [!0] 0 --END--"
F(a),spot#tba,ok,0,0.0094524,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [!0] 0 --END--"
F(a),pldi#tba,ok,0,0.00679869,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [!0] 0 --END--"
F(a),spot#sba,ok,0,0.0101932,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [!0] 0 --END--"
F(a),pldi#sba,ok,0,0.0069293,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [!0] 0 --END--"
F(a),entry.nopower,ok,0,0.00894137,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [!0] 0 --END--"
