formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
(a) | (G(b)),no.goal#pit,ok,0,4.32736,3.0,5.0,10.0,1.0,3.0,0.0,0.0,0.0,"HOA: v1 name: """" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""s0:0"" [!0&!1] 1 [!0&1] 2 State: 1 ""s3:0"" {0} [t] 1 State: 2 ""s2:0"" [1] 2 [!1] 1 --END--"
(a) | (G(b)),yes.goal#pit,ok,0,4.28487,3.0,5.0,10.0,1.0,3.0,0.0,0.0,0.0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),no.goal#fri,ok,0,4.43502,6.0,13.0,31.0,1.0,6.0,3.0,1.0,0.0,"HOA: v1 name: """" States: 6 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 ""(({s2},-1))"" [0] 3 [0] 5 [!0&!1] 1 [!0&1] 2 [!0&1] 4 State: 1 ""sink"" {0} [t] 1 State: 2 ""(({s1},2))"" [1] 2 State: 3 ""(({s0},2))"" [t] 3 State: 4 ""(({s1},-1))"" [1] 2 [1] 4 [!1] 1 State: 5 ""(({s0},-1))"" [t] 3 [t] 5 --END--"
(a) | (G(b)),yes.goal#fri,ok,0,4.29456,3.0,5.0,10.0,1.0,3.0,0.0,0.0,0.0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),no.buechenic,ok,0,1.09122,6.0,36.0,36.0,1.0,5.0,2.0,1.0,1.0,"HOA: v1 States: 6 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete --BODY-- State: 0 [!0&!1] 1 [0&!1] 2 [!0&1] 3 [0&1] 2 State: 1 [!0&!1] 1 [!0&!1] 4 [!0&!1] 5 [0&!1] 1 [0&!1] 4 [0&!1] 5 [!0&1] 1 [!0&1] 4 [!0&1] 5 [0&1] 1 [0&1] 4 [0&1] 5 State: 2 [!0&!1] 2 [0&!1] 2 [!0&1] 2 [0&1] 2 State: 3 [!0&!1] 1 [0&!1] 1 [!0&1] 3 [0&1] 3 State: 4 [!0&!1] 4 [!0&!1] 5 [0&!1] 4 [0&!1] 5 [!0&1] 4 [!0&1] 5 [0&1] 4 [0&1] 5 State: 5 {0} [!0&!1] 4 [0&!1] 4 [!0&1] 4 [0&1] 4 --END--"
(a) | (G(b)),yes.buechenic,ok,0,1.27349,4.0,7.0,18.0,1.0,3.0,1.0,1.0,0.0,"HOA: v1 States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&!1] 1 [!0&1] 2 State: 1 [t] 1 [t] 3 {0} State: 2 [!1] 1 [1] 2 State: 3 [t] 1 --END--"
(a) | (G(b)),no.autfilt,ok,0,0.0368861,3.0,5.0,10.0,1.0,3.0,0.0,0.0,0.0,"HOA: v1 States: 3 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 [1] 0 [!1] 2 State: 1 [!0&1] 0 [!0&!1] 2 State: 2 {0} [t] 2 --END--"
(a) | (G(b)),no.autfilt_DPA,ok,0,0.059962,4.0,7.0,16.0,1.0,4.0,0.0,0.0,1.0,"HOA: v1 States: 4 Start: 2 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 1 [!1] 3 State: 2 [0] 0 [!0&1] 1 [!0&!1] 3 State: 3 [t] 3 --END--"
(a) | (G(b)),yes.autfilt,ok,0,0.0449041,3.0,5.0,10.0,1.0,3.0,0.0,0.0,0.0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
(a) | (G(b)),yes.autfilt_DPA,ok,0,0.0248607,3.0,5.0,10.0,1.0,3.0,0.0,0.0,0.0,"HOA: v1 States: 3 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 [1] 1 State: 2 [!0&!1] 0 [!0&1] 1 --END--"
