formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
(((!(a)) & (!(b))) W (b)) U (G(((a) | (c)) & (X(a)))),yes.seminator#def,ok,0,0.0190329,3,7,25,1,2,2,1,0,"HOA: v1 name: ""sDBA for ((!a & !b) W b) U G((a | c) & Xa)"" States: 3 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic weak --BODY-- State: 0 [1] 0 [0 | 2] 1 [!0&!1] 2 State: 1 {0} [0] 1 State: 2 [1] 0 [0&1 | 1&2] 1 [!0&!1] 2 --END--"
(((!(a)) & (!(b))) W (b)) U (G(((a) | (c)) & (X(a)))),yes.owl#s,ok,0,0.0178289,6,25,46,1,2,3,1,0,"HOA: v1 States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [!0&1&!2] 0 [!0&!1&!2] 1 [!0&!1&2] 2 [0&1 | 1&2] 3 [0&!1] 4 State: 1 [!0&1&!2] 0 [!0&!1&!2] 1 [0&1 | 1&2] 3 [!0&!1&2] 5 State: 2 [!0&1&!2] 0 [!0&!1&!2] 1 [0&1 | 1&2] 3 [0] 4 [!0&!1&2] 5 State: 3 [!0&1&!2] 0 [!0&!1&!2] 1 [!0&!1&2] 2 [0&1 | 1&2] 3 [0] 4 State: 4 {0} [0] 4 State: 5 [!0&1&!2] 0 [!0&!1&!2] 1 [0&1 | 1&2] 3 [0&1] 4 [!0&!1&2] 5 --END--"
(((!(a)) & (!(b))) W (b)) U (G(((a) | (c)) & (X(a)))),no.owl#s,ok,0,0.00681603,7,28,50,1,3,3,1,0,"HOA: v1 States: 7 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&!1&!2] 2 [!0&!1&2] 1 [0&1 | 1&2] 3 [!0&1&!2] 0 [0&!1] 6 {0} State: 1 [!0&!1&!2] 2 [0&1 | 1&2] 3 [!0&1&!2] 0 [0&1] 4 {0} [!0&!1&2] 5 [0&!1] 6 {0} State: 2 [!0&!1&!2] 2 [0&1 | 1&2] 3 [!0&1&!2] 0 [!0&!1&2] 5 State: 3 [!0&!1&!2] 2 [!0&!1&2] 1 [0&1 | 1&2] 3 [!0&1&!2] 0 [0&1] 4 {0} [0&!1] 6 {0} State: 4 [0] 4 {0} State: 5 [!0&!1&!2] 2 [0&1 | 1&2] 3 [!0&1&!2] 0 [0&1] 4 {0} [!0&!1&2] 5 State: 6 [0] 6 {0} --END--"
(((!(a)) & (!(b))) W (b)) U (G(((a) | (c)) & (X(a)))),yes.owl#a,ok,0,0.0105064,4,11,32,1,2,3,1,0,"HOA: v1 States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc weak --BODY-- State: 0 [1] 0 [!0&!1&2] 1 [!0&!1&!2] 2 [0] 3 State: 1 [1] 0 [!0&!1] 2 [0] 3 State: 2 [1] 0 [!0&!1] 2 [0&1] 3 State: 3 {0} [0] 3 --END--"
(((!(a)) & (!(b))) W (b)) U (G(((a) | (c)) & (X(a)))),no.owl#a,ok,0,0.00636749,7,30,54,1,3,5,1,0,"HOA: v1 States: 7 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&!1&2] 5 [0&1] 2 {0} [0&1 | 1&2] 3 [0&!1] 6 {0} [!0&1&!2] 0 [!0&!1&!2] 4 State: 1 [!0&!1&2] 1 [0&1] 2 {0} [0&1 | 1&2] 3 [!0&1&!2] 0 [!0&!1&!2] 4 State: 2 [0] 2 {0} State: 3 [!0&!1&2] 5 [0&1] 2 {0} [0&1 | 1&2] 3 [0&!1] 6 {0} [!0&1&!2] 0 [!0&!1&!2] 4 State: 4 [!0&!1&2] 1 [0&1] 2 {0} [0&1 | 1&2] 3 [!0&1&!2] 0 [!0&!1&!2] 4 State: 5 [!0&!1&2] 1 [0&1 | 1&2] 3 [0&1] 2 {0} [0&!1] 6 {0} [!0&1&!2] 0 [!0&!1&!2] 4 State: 6 [0] 6 {0} --END--"
(F((G(a)) | (G((b) U (c))))) U (b),yes.seminator#def,ok,0,0.0179255,6,13,54,1,6,2,1,0,"HOA: v1 name: ""sDBA for F(Ga | G(b U c)) U b"" States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic stutter-invariant --BODY-- State: 0 [1] 1 [!1] 2 State: 1 [t] 1 {0} State: 2 [!1] 2 [0&1] 3 [1&2] 4 [1] 5 State: 3 [0] 3 {0} State: 4 [1&!2] 4 [2] 4 {0} State: 5 [0] 3 [2] 4 [t] 5 --END--"
(F((G(a)) | (G((b) U (c))))) U (b),yes.owl#s,ok,0,0.0112651,6,11,50,1,6,1,1,0,"HOA: v1 States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!1] 1 [1] 4 State: 1 [!1] 1 [1] 2 State: 2 [t] 2 [0] 3 [2] 5 State: 3 [0] 3 {0} State: 4 [t] 4 {0} State: 5 [1&!2] 5 [2] 5 {0} --END--"
(F((G(a)) | (G((b) U (c))))) U (b),no.owl#s,ok,0,0.00343316,6,12,52,1,6,1,1,0,"HOA: v1 States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [1] 1 {0} [!1] 2 State: 1 [t] 1 {0} State: 2 [1] 3 [!1] 2 State: 3 [0] 4 {0} [t] 3 [1&!2] 5 [2] 5 {0} State: 4 [0] 4 {0} State: 5 [1&!2] 5 [2] 5 {0} --END--"
(F((G(a)) | (G((b) U (c))))) U (b),yes.owl#a,ok,0,0.011874,6,11,50,1,6,1,1,0,"HOA: v1 States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!1] 4 [1] 5 State: 1 [0] 1 {0} State: 2 [0] 1 [t] 2 [2] 3 State: 3 [1&!2] 3 [2] 3 {0} State: 4 [1] 2 [!1] 4 State: 5 [t] 5 {0} --END--"
(F((G(a)) | (G((b) U (c))))) U (b),no.owl#a,ok,0,0.0040567,6,12,52,1,6,1,1,0,"HOA: v1 States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!1] 1 [1] 2 {0} State: 1 [!1] 1 [1] 4 State: 2 [t] 2 {0} State: 3 [0] 3 {0} State: 4 [1&!2] 5 [0] 3 {0} [2] 5 {0} [t] 4 State: 5 [1&!2] 5 [2] 5 {0} --END--"
